read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
1557180,batch04,52.0,60.0,1,5,2,1684,Etfdh;Fnip2;Ints3,3
1557218,batch04,55.0,55.0,1,2,2,663,Gm3143,1
1557243,batch01,52.333333333333336,60.0,2,12,2,2739,Arhgef2;Cdh4,2
1557307,batch03,47.25,60.0,1,4,2,2134,Sass6;Trmt13,2
1557323,batch01,24.5,24.5,1,2,2,677,Defa24;2810404M03Rik,2
1557570,batch04,48.2,55.0,3,10,3,1880,Ntrk2;Atp2b2;Rgl1,3
1557572,batch04,59.833333333333336,60.0,2,6,2,1561,Tnfsf10;4930444K16Rik;Hivep2,3
1557600,batch01,51.5,60.0,2,4,2,1546,Zfp808;Cacna1c,2
1557688,batch04,32.5,32.5,1,2,2,536,Wwox,1
1557728,batch04,37.285714285714285,60.0,3,7,3,1385,Arhgef11;Chl1;Fcrl5,3
1557825,batch01,40.333333333333336,60.0,2,3,3,1237,Bcar3;Gm56790,2
1557838,batch02,60.0,60.0,1,4,2,1137,Psd3,1
1557845,batch01,39.375,42.5,1,8,3,2744,Defa40;Cntnap4,2
1557855,batch04,48.4,60.0,2,5,3,1004,Kars;Inpp4b;Adat1,3
1557949,batch01,35.57142857142857,43.0,2,7,3,1648,Cpvl,1
1557967,batch01,56.4,60.0,3,5,4,1683,Il1rapl2,1
1558003,batch04,60.0,60.0,2,4,2,1082,Dennd5b,1
1558064,batch01,55.0,55.0,2,2,2,738,Ubqln1,1
1558132,batch01,60.0,60.0,1,2,2,675,Atp2b2,1
1558156,batch04,21.625,9.0,4,8,4,1647,Sec14l2,1
1558255,batch03,52.5,60.0,1,4,2,1319,Foxp2,1
1558256,batch04,53.75,54.0,2,4,2,1054,Lyrm7os;Eps8,2
1558272,batch01,59.0,60.0,1,5,3,1916,Caprin2;Slco1a5,2
1558293,batch03,60.0,60.0,2,2,2,688,Kcnd3,1
1558312,batch01,45.0,47.0,1,3,2,702,Prodh,1
1558324,batch01,58.2,60.0,2,5,4,1974,Ccdc136,1
1558402,batch03,60.0,60.0,1,2,2,704,Gm18289,1
1558406,batch01,60.0,60.0,1,2,2,770,Gm43950;Gxylt2,2
1558410,batch04,60.0,60.0,2,3,2,1026,Slc39a11;Mecom,2
1558420,batch04,60.0,60.0,2,2,2,632,Jazf1,1
1558424,batch03,60.0,60.0,1,2,2,572,Tmcc1,1
1558434,batch04,0.5,0.5,1,2,2,586,Gm4073;Vmn2r30,2
1558446,batch04,51.5,60.0,1,4,2,922,Skap2;Gm9728,2
1558477,batch01,50.166666666666664,60.0,2,6,2,1739,Hrh1,1
1558514,batch04,46.333333333333336,60.0,1,3,2,1530,Aak1;Antxr1,2
1558540,batch04,60.0,60.0,2,4,3,1591,Lmntd1,1
1558580,batch03,55.0,60.0,2,5,3,2126,S100a2;Mecom;S100a16,3
1558589,batch01,52.0,52.0,2,2,2,566,Slc4a1;H1f3,2
1558592,batch04,44.333333333333336,60.0,3,3,3,910,Ranbp17,1
1558602,batch04,32.0,32.0,1,2,2,610,Usp43;Ppm1e,2
1558616,batch04,56.333333333333336,58.0,2,3,2,928,Rora,1
1558637,batch01,60.0,60.0,2,2,2,673,Rad54b;Gm31816,2
1558649,batch04,29.928571428571427,25.5,5,14,6,3424,Kcnip1;Gm11981,2
1558727,batch03,60.0,60.0,1,2,2,765,Pmm2,1
1558773,batch01,39.0,47.5,3,4,3,887,Zfp987,1
1558812,batch01,60.0,60.0,1,2,2,872,Ranbp17;Gm26542,2
1558859,batch03,45.5,45.5,1,2,2,703,Gm44079,1
1558864,batch01,28.0,11.5,4,16,6,3335,Arhgap10;Chl1;4930567H12Rik;4933431K23Rik;2500002B13Rik,5
1558878,batch04,60.0,60.0,3,3,3,738,Vwa8,1
1558920,batch04,60.0,60.0,1,3,2,842,Sorbs2;Gm45455,2
1558943,batch04,43.5,56.5,4,4,4,1325,Wwox;Myo3b,2
1558951,batch03,60.0,60.0,1,2,2,651,Tnrc6c;Vamp2,2
1558960,batch04,41.2,60.0,3,5,3,1436,Asah1;Zfp518b;Mtus1,3
1558966,batch03,51.8,60.0,1,5,3,1444,Gm45708;Hydin,2
1558980,batch04,30.5,30.5,2,2,2,781,Slc44a5,1
1558990,batch03,30.5,30.5,1,2,2,566,2500002B13Rik,1
1559023,batch01,49.857142857142854,60.0,3,7,3,2148,Nf2;Axin1;Ccdc157,3
